id,name,quantity,price,price_normalized,igd_type,brand,picture
140,닭고기,0,4000,0,g,"",carrot.png
141,콩나물,0,3000,0,g,"",carrot.png
142,밥,0,0,0,개,"",carrot.png
143,통새우 볶음밥,0,4000,0,g,노브랜드,carrot.png
144,스펨,0,3000,0,개,"",carrot.png
145,두부,0,3000,0,모,"",carrot.png
146,양파,0,200,0,개,"",carrot.png
147,양파,0,200,0,개,"",carrot.png
148,모짜렐라 치즈,0,10,0,g,"",carrot.png
149,피자치즈,100,1000,1,g,이마트,carrot.png
150,새송이버섯,1,300,1,개,이마트,carrot.png
151,표고버섯,1,300,1,g,이마트,carrot.png
152,마늘,5,1500,1,g,이마트,carrot.png
153,오징어,500,10000,1,g,이마트,carrot.png
154,새우,1,570,1,개,이마트,carrot.png
155,시금치,1,1500,1,단,이마트,carrot.png
156,우유,1000,2000,1,ml,이마트,carrot.png
157,가자미,1,4000,1,마리,이마트,carrot.png
158,밀가루,500,3000,1,g,이마트,carrot.png
159,레몬,1,700,1,개,이마트,carrot.png
160,감동란,2,1600,1,개,감동란,carrot.png
161,종가집 맛김치 80g,1,1300,1,개,종가집,carrot.png
162,스쿨초이스 스트링치즈 24g,1,1300,1,개,제니코,carrot.png
163,리퀴진 롱에센 뽀득프랑크 100g,1,2300,1,개,롯데,carrot.png
164,햇반 210g,1,1500,1,개,CJ,carrot.png
165,슬라이스 치즈 100g,22,2000,1,장,동원,carrot.png
166,진짬뽕,1,1600,1,개,오뚜기,carrot.png
167,한입포자만두 6개입,1,2000,1,개,세븐일레븐,carrot.png
168,진짜장,1,1500,1,개,오뚜기,carrot.png
169,불닭떡볶이,1,3000,1,개,삼양,carrot.png
170,오뚜기 카레면,1,1600,1,개,오뚜기,carrot.png
171,바삭통다리치킨,1,2000,1,개,GS25,carrot.png
172,당근,100,348,1,g,이마트,carrot.png
173,아이비크래커 90g,1,1500,1,개,해태,carrot.png
174,동원참치 라이트스탠다드 150g,1,3600,1,개,동원,carrot.png
175,우유식빵 330g,12,1800,1,장,삼립,carrot.png
176,슬라이스햄 100g,10,1900,1,장,롯데,carrot.png
177,토마토,2000,8500,1,g,이마트,carrot.png
178,애호박,1,1200,1,개,이마트,carrot.png
179,사리곰탕 큰사발면,1,1050,1,개,농심,carrot.png
180,옛날쌀떡국,1,2300,1,개,오뚜기,carrot.png
181,버터,100,2500,1,g,이마트,carrot.png
182,라면친구 계란,1,350,1,개,청계원,carrot.png
183,뿌려먹는 모짜렐라 치즈 25g,1,1000,1,개,빙그레,carrot.png
184,순살치킨꼬치,1,1500,1,개,CU,carrot.png
185,오뚜기 스위트콘 340g,1,1000,1,캔,오뚜기,carrot.png
186,고기볶음장,0,100,0,숟가락,"",carrot.png
187,단호박,1,3000,1,개,이마트,carrot.png
188,오레오오즈,250,5000,1,g,Post,carrot.png
189,포카칩 오리지널,1,1500,1,봉지,농심,carrot.png
190,수비드닭가슴살샐러드 250g,1,2900,1,팩,세븐일레븐,carrot.png
191,등갈비,100,3480,1,g,이마트,carrot.png
192,대파,4,3200,1,개,이마트,carrot.png
193,연어,400,18000,1,g,이마트,carrot.png
194,후레쉬번 140g,1,1500,1,봉,SHAVY,carrot.png
